cJobId,cTitle,Status,Created Date,Start Date,End Date,sWork,Employer,sEducation,sExperience,sLocation,sOccupation,Occupation,Hours Per Week,Currency,Salary Frequency,Salary Description,Minimum Salary,Maximum Salary,fMinSalary,fMaxSalary,fMeanSalary,Sub-Industry,sIndustry
R3K2Q6,Handyman/detailer,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,High School or Equivalent,3-4 Years,George Town,445,Other cleaning workers,45,KYD,Per Month,"KYD$18,720 - KYD$23,400 Per Annum (paid Monthly)","$18,720","$23,400","$18,720","$23,400","$21,060",Recruitment & Employment Agencies,Administrative and Support Service Activities
R5S5M5,Acupuncturist,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,Bachelor´s Degree,1-2 Years,George Town,69,Traditional and Complementary Medicine Professionals,45,KYD,Per Month,"KYD$2,000 - KYD$6,000 Monthly","$24,000","$72,000","$24,000","$72,000","$48,000",Recruitment & Employment Agencies,Administrative and Support Service Activities
R6M6K2,Audit Senior,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,Bachelor´s Degree,3-4 Years,George Town,96,Accountants,45,USD,Per Month,"USD$65,000 - USD$90,000 Per Annum (paid Monthly)","$65,000","$90,000","$54,167","$75,000","$64,583",Recruitment & Employment Agencies,Administrative and Support Service Activities
R7G5C5,"Director, Client Services",Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,Bachelor´s Degree,5-6 Years,Seven Mile Beach,13,Business services and administration managers not elsewhere classified,45,USD,Per Month,"USD$140,002.2 - USD$170,001 Per Annum (paid Monthly)","$140,002","$170,001","$116,669","$141,668","$129,168",Recruitment & Employment Agencies,Administrative and Support Service Activities
R8G8R8,Carpenter,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,High School or Equivalent,5-6 Years,George Town,322,Carpenters and joiners,45,KYD,Per Hour,KYD$12 Per Hour (paid Per Hour),"$28,080","$28,080","$28,080","$28,080","$28,080",Recruitment & Employment Agencies,Administrative and Support Service Activities
R8U2D6,Household Assistant,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,High School or Equivalent,1-2 Years,George Town,261,Domestic housekeepers,40,KYD,Per Month,"KYD$24,000 - KYD$28,800 Per Annum (paid Monthly)","$24,000","$28,800","$24,000","$28,800","$26,400",Recruitment & Employment Agencies,Administrative and Support Service Activities
S2C5H3,Web3 Client Relationship Officer,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,Bachelor´s Degree,5-6 Years,Red Bay / Prospect,194,Business services agents not elsewhere classified,40,USD,Per Month,"USD$100,000 - USD$110,000 Per Annum (paid Monthly)","$100,000","$110,000","$83,333","$91,667","$87,500",Recruitment & Employment Agencies,Administrative and Support Service Activities
S4N2E8,Assistant Storeman,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,High School or Equivalent,3-4 Years,George Town,23,"Supply, distribution and related managers",45,KYD,Per Month,"KYD$2,500 - KYD$2,900 Monthly","$30,000","$34,800","$30,000","$34,800","$32,400",Recruitment & Employment Agencies,Administrative and Support Service Activities
S5K6T2,Tennis Coach,Active,30-Jan-25,23-Jan-25,06-Feb-25,Full-time,Richard Parchment,Certificate/Diploma,5-6 Years,West Bay,210,Sports coaches instructors and officials,45,KYD,Per Month,"KYD$24,000 - KYD$36,000 Per Annum (paid Monthly)","$24,000","$36,000","$24,000","$36,000","$30,000",Recruitment & Employment Agencies,Administrative and Support Service Activities
S5W2B4,Car Detailer,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Breanna Rose,High School or Equivalent,1-2 Years,George Town,443,Vehicle cleaners,45,KYD,Bi-Weekly,KYD$7 - KYD$10 Per Hour (paid Bi-Weekly),"$16,380","$23,400","$16,380","$23,400","$19,890",Maintenance & Repair of Motor Vehicles & Motorcycles,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
S6K5P8,Mercedes Diagnostic Technician Diagnostic Technician Diagnostic,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,Associate Degree,1-2 Years,George Town,345,Motor vehicle mechanics and repairers,40,KYD,Per Week,"KYD$800 - KYD$1,100 Weekly","$41,600","$57,200","$41,600","$57,200","$49,400",Recruitment & Employment Agencies,Administrative and Support Service Activities
S7S5F8,Beauty Therapist,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Analyn Parinas-brown & Angelina Evans,Certificate/Diploma,3-4 Years,George Town,259,Beauticians and related workers,45,KYD,Bi-Weekly,"KYD$18,720 Per Annum (paid Bi-Weekly)","$18,720","$18,720","$18,720","$18,720","$18,720","Hairdressing, Beauty Treatment & Other Personal Care",Other Service Activities
T2U5R6,Operations Supervisor Supervisor Supervisor,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,Bachelor´s Degree,3-4 Years,George Town,149,Construction Supervisors,45,KYD,Per Month,"KYD$3,900 - KYD$4,290 Monthly","$46,800","$51,480","$46,800","$51,480","$49,140",Recruitment & Employment Agencies,Administrative and Support Service Activities
T3G4A7,Mason,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,High School or Equivalent,3-4 Years,George Town,320,Stonemasons stone cutters splitters and carvers,45,KYD,Bi-Weekly,KYD$9 - KYD$15 Per Hour (paid Bi-Weekly),"$21,060","$35,100","$21,060","$35,100","$28,080",Recruitment & Employment Agencies,Administrative and Support Service Activities
T3U5S7,Assistant Furniture Installer,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,High School or Equivalent,1-2 Years,George Town,423,Assemblers,45,KYD,Per Week,KYD$315 - KYD$450 Weekly,"$16,380","$23,400","$16,380","$23,400","$19,890",Recruitment & Employment Agencies,Administrative and Support Service Activities
T4C3B2,Mason/ Stell Fixer,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,High School or Equivalent,3-4 Years,George Town,320,Stonemasons stone cutters splitters and carvers,45,KYD,Bi-Weekly,KYD$13 Per Hour (paid Bi-Weekly),"$30,420","$30,420","$30,420","$30,420","$30,420",Recruitment & Employment Agencies,Administrative and Support Service Activities
T4Y5R4,Kitchen & Bath Designer,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Richard Parchment,Certificate/Diploma,5-6 Years,George Town,213,Interior designers and decorators,45,KYD,Bi-Weekly,"KYD$1,350 - KYD$1,620 Bi-Weekly (paid Bi-Weekly)","$35,100","$42,120","$35,100","$42,120","$38,610",Recruitment & Employment Agencies,Administrative and Support Service Activities
T6E2C3,Managing Director,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Zedra Trust Company (cayman) Limited,Master´s Degree,10+ Years,George Town,480,Managing Directors,37.5,USD,Per Month,"USD$200,000 - USD$280,000 Per Annum (paid Monthly)","$200,000","$280,000","$166,667","$233,333","$200,000",Financial & Insurance Services,Financial and Insurance Activities
T8X2F5,Logistic Coordinator,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Car City Ltd. T/a Car City,High School or Equivalent,1-2 Years,George Town,225,Data entry clerks,45,KYD,Per Month,"KYD$41,000 - KYD$51,999.96 Per Annum (paid Monthly)","$41,000","$52,000","$41,000","$52,000","$46,500",Sale of Motor Vehicles & Motorcycles,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
U2B8X7,Construction Superintendent,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Encompass Ltd,High School or Equivalent,10+ Years,George Town,22,Construction Managers,45,KYD,Per Month,"KYD$6,250 - KYD$7,083.33 Monthly","$75,000","$85,000","$75,000","$85,000","$80,000",Construction & Civil Engineering,Construction
U2K3F3,Photographer/videographer,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Cayman Photography Ltd,Bachelor´s Degree,3-4 Years,George Town,212,Photographers,40,KYD,Per Month,"KYD$1,600 - KYD$2,000 Monthly","$19,200","$24,000","$19,200","$24,000","$21,600",Photographic Activities,"Professional, Scientfic and Technical Activities"
U2P8M6,Tiler,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Ezron A. Anderson T/a Matrix Construction,High School or Equivalent,5-6 Years,George Town,325,Floor layers and tile setters,45,KYD,Per Week,KYD$495 - KYD$540 Weekly,"$25,740","$28,080","$25,740","$28,080","$26,910",Construction & Civil Engineering,Construction
U2V2A6,Carpenter,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Dwainey Wilson T/a Dwainey Construction,High School or Equivalent,10+ Years,George Town,317,Building frame and related trades workers not elsewhere classified,40,KYD,Per Week,KYD$600 Weekly,"$31,200","$31,200","$31,200","$31,200","$31,200",Construction & Civil Engineering,Construction
U4C3Y4,Carpenter,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Luann R. Dunkley T/a Platinum Crew General Maintenance And Repairs,High School or Equivalent,5-6 Years,George Town,322,Carpenters and joiners,45,KYD,Per Hour,KYD$12 - KYD$14 Per Hour (paid Per Hour),"$28,080","$32,760","$28,080","$32,760","$30,420",Maintenance & Repair of Buildings,Administrative and Support Service Activities
U7Q3G8,Manager - Finance,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Health City Cayman Islands,Bachelor´s Degree,3-4 Years,East End,26,Health services managers,45,USD,Per Month,"USD$5,000 - USD$7,000 Monthly","$60,000","$84,000","$50,000","$70,000","$60,000","Health, Medical & Social Care",Human Health and Social Work Activities
U8Y8S6,Gardener,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Earthworks Landscaping Ltd.,High School or Equivalent,1-2 Years,George Town,298,Gardeners horticultural and nursery growers,45,KYD,Bi-Monthly,"KYD$18,200 - KYD$24,700 Per Annum (paid Bi-Monthly)","$18,200","$24,700","$18,200","$24,700","$21,450",Landscape & Maintenance Services,Administrative and Support Service Activities
V2H2C8,Warehouse Supervisor,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Encompass Ltd,High School or Equivalent,3-4 Years,West Bay,242,Stock clerks,45,KYD,Bi-Weekly,KYD$13 - KYD$15 Per Hour (paid Bi-Weekly),"$30,420","$35,100","$30,420","$35,100","$32,760",Construction & Civil Engineering,Construction
V3A6C4,Warehouse Person/store Packer Person/store Packer Person/store,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Cayridge Trading Company Ltd. T/a Friend Ship,High School or Equivalent,1-2 Years,George Town,455,Hand packers,45,KYD,Per Hour,KYD$6 - KYD$8 Per Hour (paid Per Hour),"$14,040","$18,720","$14,040","$18,720","$16,380",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
V3W6R3,Fragrance & Cosmetics Sales Associate,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Kirk Freeport Plaza Ltd,Certificate/Diploma,3-4 Years,George Town,259,Beauticians and related workers,40,KYD,Bi-Weekly,"KYD$20,176 - KYD$28,600 Per Annum (paid Bi-Weekly)","$20,176","$28,600","$20,176","$28,600","$24,388",Financial & Insurance Services,Financial and Insurance Activities
V3X5E5,Rooms Front Of House Employee,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Khrg Cayman Employer Ltd,High School or Equivalent,1-2 Years,West Bay,234,Hotel receptionists,45,USD,Bi-Weekly,USD$8 - USD$11 Per Hour (paid Bi-Weekly) + gratuities,"$18,720","$25,740","$15,600","$21,450","$18,525",Accommodation,Accommodation and Food Service Activities
V5T7H8,Food & Beverage Server,Closed,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Xq's Ltd.,High School or Equivalent,5-6 Years,George Town,256,Waiters,45,KYD,Bi-Weekly,"KYD$999.9 - KYD$1,500.3 Bi-Weekly (paid Bi-Weekly) + gratuities","$25,997","$39,008","$25,997","$39,008","$32,503","Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
W5S2V5,Carpenter/steel Fixer,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Trevan Ebanks T/a North East Construction,High School or Equivalent,5-6 Years,George Town,454,Building construction labourers,45,KYD,Per Hour,KYD$10 - KYD$12 Per Hour (paid Per Hour),"$23,400","$28,080","$23,400","$28,080","$25,740",Construction & Civil Engineering,Construction
W6S6P2,Global Funds Director,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Vistra (cayman) Limited,Bachelor´s Degree,9-10 Years,George Town,480,Managing Directors,45,USD,Per Month,"USD$18,000 - USD$22,000 Monthly","$216,000","$264,000","$180,000","$220,000","$200,000",Financial & Insurance Services,Financial and Insurance Activities
W8H3Q6,Senior Bdm Operations Manager,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Maplesfs Service Company Limited,Bachelor´s Degree,10+ Years,George Town,194,Business services agents not elsewhere classified,37.5,USD,Per Month,"USD$80,000 - USD$150,000 Per Annum (paid Monthly)","$80,000","$150,000","$66,667","$125,000","$95,833",Financial & Insurance Services,Financial and Insurance Activities
X2N6W5,Trust Manager – Trust Services,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Rawlinson & Hunter Limited,Bachelor´s Degree,5-6 Years,Seven Mile Beach,13,Business services and administration managers not elsewhere classified,37.5,USD,Per Month,"USD$100,000 - USD$138,000 Per Annum (paid Monthly)","$100,000","$138,000","$83,333","$115,000","$99,167",Financial & Insurance Services,Financial and Insurance Activities
X7S7F5,Chief Construction/development Officer (ccdo),Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Heritage Holdings Ltd.,Associate Degree,10+ Years,West Bay,22,Construction Managers,45,KYD,Bi-Monthly,"KYD$110,000 - KYD$161,000 Per Annum (paid Bi-Monthly)","$110,000","$161,000","$110,000","$161,000","$135,500",Real Estate & Property Management,Real Estate Activities
Y2G2V5,Mobile Car Washer,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Everton Oliver Parker Jr T/a Vip Mobile Auto Detailing,High School or Equivalent,3-4 Years,George Town,443,Vehicle cleaners,40,KYD,Per Month,"KYD$1,050 - KYD$1,250 Monthly","$12,600","$15,000","$12,600","$15,000","$13,800",Maintenance & Repair of Motor Vehicles & Motorcycles,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
Y2K3K6,Accounts Assistant,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Desyouth Omar Chambers T/a Island Hospitality,Bachelor´s Degree,3-4 Years,George Town,239,Accounting and bookkeeping clerks,45,KYD,Per Month,"KYD$30,000 - KYD$36,000 Per Annum (paid Monthly)","$30,000","$36,000","$30,000","$36,000","$33,000",Business & Management Consultancy,"Professional, Scientfic and Technical Activities"
Y4E4W8,Assistant To The Dean Of Basic Sciences/hr Coordintaor,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Invenio Global Search,Bachelor´s Degree,3-4 Years,George Town,198,Administrative and executive secretaries,45,KYD,Per Month,"KYD$35,000 - KYD$36,100 Per Annum (paid Monthly)","$35,000","$36,100","$35,000","$36,100","$35,550",Recruitment & Employment Agencies,Administrative and Support Service Activities
Y4E6J8,Analyst Iii,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Vistra (cayman) Limited,Bachelor´s Degree,5-6 Years,George Town,98,Financial analysts,45,KYD,Per Month,"KYD$7,000 - KYD$9,000 Monthly","$84,000","$108,000","$84,000","$108,000","$96,000",Financial & Insurance Services,Financial and Insurance Activities
Y6H5U7,Mason,Active,30-Jan-25,24-Jan-25,07-Feb-25,Full-time,Phillip A. Richards T/a Creative Stone Wall,High School or Equivalent,5-6 Years,West Bay,320,Stonemasons stone cutters splitters and carvers,40,KYD,Per Week,KYD$12 - KYD$14 Per Hour (paid Weekly),"$24,960","$29,120","$24,960","$29,120","$27,040",Construction & Civil Engineering,Construction
Y6Q7X2,Architectural Technologist,Active,30-Jan-25,30-Jan-25,13-Feb-25,Full-time,Heritage Holdings Ltd.,Bachelor´s Degree,3-4 Years,George Town,57,Building architects,45,KYD,Bi-Monthly,"KYD$55,000 - KYD$77,000 Per Annum (paid Bi-Monthly)","$55,000","$77,000","$55,000","$77,000","$66,000",Real Estate & Property Management,Real Estate Activities
A3A5U6,Senior Manager - Trust Services,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Citco Trustees (cayman) Limited,Some College/University,5-6 Years,Camana Bay,13,Business services and administration managers not elsewhere classified,40,USD,Per Month,"USD$130,000 - USD$160,000 Per Annum (paid Monthly)","$130,000","$160,000","$108,333","$133,333","$120,833",Financial & Insurance Services,Financial and Insurance Activities
A3N8T6,Senior Service Technician,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Pestkil Ltd.,High School or Equivalent,7-8 Years,George Town,139,Chemical and physical science technicians,45,KYD,Per Month,"KYD$41,400 - KYD$46,200 Per Annum (paid Monthly)","$41,400","$46,200","$41,400","$46,200","$43,800",Manufacturing,Manufacturing
A3S5S4,Farm Helper/maintenance,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Geoffrey Dixon T/a Zippy Farm,High School or Equivalent,Less Than 1 Year,George Town,299,Mixed crop growers,45,KYD,Per Hour,KYD$7.5 - KYD$10.5 Per Hour (paid Per Hour),"$17,550","$24,570","$17,550","$24,570","$21,060",Agriculture & Fishing,"Agriculture, Forestry and Fishing"
A3S6V6,Director Of Finance,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,The Security Centre Ltd,Bachelor´s Degree,3-4 Years,George Town,10,Finance managers,45,KYD,Bi-Monthly,"KYD$80,000 - KYD$160,000 Per Annum (paid Bi-Monthly)","$80,000","$160,000","$80,000","$160,000","$120,000",Private Security Services,Administrative and Support Service Activities
A4A3U7,Electrical Mechanic,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,The Cayman Islands Brewery Ltd.,Certificate/Diploma,3-4 Years,Red Bay / Prospect,365,Electrical mechanics and fitters,45,KYD,Per Month,"KYD$2,500 - KYD$4,000 Monthly","$30,000","$48,000","$30,000","$48,000","$39,000",Manufacturing,Manufacturing
A4G4B6,Field Coordinator Coordinator Coordinator,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Ymca Of The Cayman Islands,High School or Equivalent,3-4 Years,George Town,210,Sports coaches instructors and officials,40,KYD,Per Year,"KYD$30,000 - KYD$36,000 Per Annum (paid Per Annum)","$30,000","$36,000","$30,000","$36,000","$33,000",Religious & Charitable Organizations,Other Service Activities
A4G6D5,Janitor,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Leanora Dianne Pallast/a Dianne's Beauty Salon,High School or Equivalent,5-6 Years,George Town,261,Domestic housekeepers,40,KYD,Per Week,KYD$320 - KYD$350 Weekly,"$16,640","$18,200","$16,640","$18,200","$17,420","Hairdressing, Beauty Treatment & Other Personal Care",Other Service Activities
A4M8V2,Registrar Medical Doctor,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Health City Cayman Islands,Doctoral Degree,5-6 Years,George Town,64,Generalist medical practitioners,45,USD,Per Month,"USD$5,000 - USD$6,000 Monthly","$60,000","$72,000","$50,000","$60,000","$55,000","Health, Medical & Social Care",Human Health and Social Work Activities
A4N8D8,Janitorial,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Luis Enrique Hernandez Vasquez,Below High School,1-2 Years,George Town,441,Cleaners and helpers in offices hotels and other establishments,45,KYD,Per Week,KYD$6 - KYD$8 Per Hour (paid Weekly),"$14,040","$18,720","$14,040","$18,720","$16,380",Cleaning Services,Administrative and Support Service Activities
A5P8D4,Hs Teacher Of Ict / Computing / Computer Science (jobref#b154-24-25),Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Cayman Prep And High School,Bachelor´s Degree,3-4 Years,George Town,83,Secondary Education Teachers,40,KYD,Per Month,"KYD$49,700 - KYD$69,700 Per Annum (paid Monthly)","$49,700","$69,700","$49,700","$69,700","$59,700",Education,Education
A5S3J7,Ac Service Technician,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Dac Fm Ltd T/a Dac Facilities Management,High School or Equivalent,5-6 Years,George Town,330,Air Conditioning and Refrigeration Mechanics,45,KYD,Bi-Weekly,"KYD$1,440 - KYD$2,250 Bi-Weekly (paid Bi-Weekly)","$37,440","$58,500","$37,440","$58,500","$47,970",Real Estate & Property Management,Real Estate Activities
A6E2V5,General Laborer/helper,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Ductfab Cayman Ltd. T/a Hvac Duct Supply And Fabrication,High School or Equivalent,1-2 Years,George Town,454,Building construction labourers,45,KYD,Bi-Weekly,"KYD$23,400 - KYD$32,760 Per Annum (paid Bi-Weekly)","$23,400","$32,760","$23,400","$32,760","$28,080","Electrical, Plumbing & Air-Conditioning Installation",Construction
A6M6X2,Director Of Finance,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Hospitality Services Ltd. T/a Hospitality Services Ltd,Bachelor´s Degree,9-10 Years,George Town,96,Accountants,45,KYD,Per Month,"KYD$95,000 - KYD$120,000 Per Annum (paid Monthly)","$95,000","$120,000","$95,000","$120,000","$107,500",Recruitment & Employment Agencies,Administrative and Support Service Activities
A6W7U2,Multipurpose Associate,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Jason Reid T/a General Automotive Services,Certificate/Diploma,7-8 Years,George Town,194,Business services agents not elsewhere classified,45,KYD,Per Month,"KYD$1,800 - KYD$2,000.7 Monthly","$21,600","$24,008","$21,600","$24,008","$22,804",Maintenance & Repair of Motor Vehicles & Motorcycles,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
A8B7A6,Restaurant General Manager,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Hospitality Services Ltd. T/a Hospitality Services Ltd,Certificate/Diploma,5-6 Years,Seven Mile Beach,33,Restaurant managers,45,USD,Per Year,"USD$95,000 - USD$120,000 Per Annum (paid Per Annum)","$95,000","$120,000","$79,167","$100,000","$89,583",Recruitment & Employment Agencies,Administrative and Support Service Activities
A8T2E6,Carpenter,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Arm Holding Company Ltd,High School or Equivalent,10+ Years,George Town,322,Carpenters and joiners,45,KYD,Per Week,"KYD$32,760 - KYD$35,100 Per Annum (paid Weekly)","$32,760","$35,100","$32,760","$35,100","$33,930",Construction & Civil Engineering,Construction
B2D6S7,Janitorial/domestic,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Giovanni Wesley T/a Aje Janitorial,High School or Equivalent,3-4 Years,George Town,441,Cleaners and helpers in offices hotels and other establishments,45,KYD,Per Hour,KYD$6 - KYD$10 Per Hour (paid Per Hour),"$14,040","$23,400","$14,040","$23,400","$18,720",Cleaning Services,Administrative and Support Service Activities
B2F8E4,Senior Regulatory Reporting Manager,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Ogier,Certificate/Diploma,10+ Years,Camana Bay,12,Policy and planning managers,37.5,USD,Per Month,"USD$120,000 - USD$160,000 Per Annum (paid Monthly)","$120,000","$160,000","$100,000","$133,333","$116,667",Legal Services,"Professional, Scientfic and Technical Activities"
B3R7W6,Line Cook,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Grand Cayman Marriott Beach Resort,Certificate/Diploma,1-2 Years,Seven Mile Beach,255,Cooks,45,KYD,Bi-Weekly,KYD$540 - KYD$720 Bi-Weekly (paid Bi-Weekly) + gratuities,"$14,040","$18,720","$14,040","$18,720","$16,380",Accommodation,Accommodation and Food Service Activities
B5C5W2,Client Service Associate,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Cayman Islands National Insurance Company Ltd.,Associate Degree,1-2 Years,George Town,226,Customer Services Clerks,37.5,KYD,Per Month,"KYD$43,452 - KYD$57,036 Per Annum (paid Monthly)","$43,452","$57,036","$43,452","$57,036","$50,244",Financial & Insurance Services,Financial and Insurance Activities
B6B4J3,Mason,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Hugh Thomas T/a Unique Construction,High School or Equivalent,3-4 Years,George Town,320,Stonemasons stone cutters splitters and carvers,40,KYD,Per Week,"KYD$26,000 - KYD$31,200 Per Annum (paid Weekly)","$26,000","$31,200","$26,000","$31,200","$28,600",Construction & Civil Engineering,Construction
B6C3S8,Maintenance Associate Associate Associate,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Foster's Food Fair Ltd.,Certificate/Diploma,5-6 Years,George Town,369,Information and communications technology installers and servicers,45,KYD,Per Month,"KYD$43,875 - KYD$60,395.4 Per Annum (paid Monthly)","$43,875","$60,395","$43,875","$60,395","$52,135",Wholesale & Retail Sale of Business & Consumer Products,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
B6C6N5,Nail Technician,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Norma Webb T/a Beauty Box Salon & Barber,High School or Equivalent,5-6 Years,George Town,259,Beauticians and related workers,40,KYD,Per Month,"KYD$12,480 Per Annum (paid Monthly)","$12,480","$12,480","$12,480","$12,480","$12,480","Hairdressing, Beauty Treatment & Other Personal Care",Other Service Activities
B6J8V4,Litigation Partner,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Baker And Partners (cayman Limited),Master´s Degree,10+ Years,George Town,118,Lawyers,35,USD,Per Month,"USD$5,192.31 - USD$5,769.23 Weekly (paid Monthly)","$270,000","$300,000","$225,000","$250,000","$237,500",Legal Services,"Professional, Scientfic and Technical Activities"
B7A4T8,Mason/carpenter,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Joel G Hydes T/a Sydia's Construction And Maintenance,High School or Equivalent,3-4 Years,George Town,321,Concrete placers concrete finishers and related workers,45,KYD,Bi-Weekly,"KYD$23,400 - KYD$25,740 Per Annum (paid Bi-Weekly)","$23,400","$25,740","$23,400","$25,740","$24,570",Construction & Civil Engineering,Construction
B8Y3E4,Food & Beverage Server,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,Harbour View Wine Bar Ltd T/a South West Collective,High School or Equivalent,3-4 Years,George Town,282,Food service counter attendants,40,KYD,Bi-Weekly,KYD$600 - KYD$640 Bi-Weekly (paid Bi-Weekly),"$15,600","$16,640","$15,600","$16,640","$16,120","Restaurants, Mobile Food & Beverages Services",Accommodation and Food Service Activities
C2D7X4,Senior Av Technician,Active,31-Jan-25,31-Jan-25,14-Feb-25,Full-time,345av Ltd.,Certificate/Diploma,10+ Years,George Town,221,Broadcasting and audio visual technicians,45,KYD,Bi-Weekly,"KYD$67,860 - KYD$81,900 Per Annum (paid Bi-Weekly)","$67,860","$81,900","$67,860","$81,900","$74,880","Electrical, Plumbing & Air-Conditioning Installation",Construction
C3F5M5,Senior Accountant,Active,31-Jan-25,31-Jan-25,14-Feb-25,Temporary,The Agency Group Ltd,Bachelor´s Degree,5-6 Years,George Town,96,Accountants,37.5,USD,Per Month,USD$32 - USD$50 Per Hour (paid Monthly),"$62,400","$97,500","$52,000","$81,250","$66,625",Recruitment & Employment Agencies,Administrative and Support Service Activities
C3X5M7,Car Washer Washer Washer,Active,31-Jan-25,31-Jan-25,14-Feb-25,Temporary,Handful of Purpose Gardening & Maintenance Ltd T/A A&T Construction and Maintenance Services,High School or Equivalent,5-6 Years,George Town,445,Other cleaning workers,45,KYD,Per Week,KYD$315 - KYD$450 Weekly + gratuities,"$16,380","$23,400","$16,380","$23,400","$19,890",Construction & Civil Engineering,Construction
