cJobId,cTitle,sWork,sEducation,sExperience,sLocation,sOccupation,sIndustry,fMinSalary,fMaxSalary,fMeanSalary
U5M6K8,Gardener,1,1,3,3,298,2,16640.00,20800.00,18720.00
V3R3X7,Heavy Equipment Diesel Mechanic,1,1,7,0,391,12,30420.00,37440.00,33930.00
V5U2B4,Head Of Underwriting Analytics,1,3,7,1,41,14,333333.33,354166.67,343750.00
V5X3C5,Carpenter Helper,1,1,4,12,454,5,18720.00,23400.00,21060.00
V6A4R3,Food And Beverage Director,1,1,3,3,32,2,116666.67,125000.00,120833.33
W6X2F7,Store Clerk,1,1,3,11,276,19,14040.00,25740.00,19890.00
X5P2E6,Mason,1,1,4,3,320,5,21060.00,31590.00,26325.00
X7V7C5,Line Cook,1,5,4,5,255,14,16380.00,23400.00,19890.00
X8H6V5,Food & Beverage Server,1,1,2,3,256,0,12480.00,16640.00,14560.00
Y5D6Y3,Operations Coordinator,1,5,3,3,99,2,54000.00,84000.00,69000.00
A8Q4X6,Assitant Server | Food Runner,1,3,2,3,256,0,12870.00,17550.00,15210.00
C5B6R4,Assistant Cook,1,3,3,3,255,0,14040.00,31590.00,22815.00
F8W7M2,Sous Chef,1,4,4,3,215,0,20800.00,31200.00,26000.00
N8V8J8,Food & Beverage Server,1,3,3,3,256,0,12870.00,17550.00,15210.00
T5E7A2,Kitchen Helper,1,1,2,3,463,0,14040.00,16380.00,15210.00
T8K5F5,Bartender Server,1,3,4,3,257,0,12870.00,17550.00,15210.00
Y2C3Y7,Cook,1,3,3,3,255,0,16380.00,33930.00,25155.00
G5R3X6,Renewable Energy Project Coordinator,1,5,3,3,52,5,42000.00,60000.00,51000.00
Q8V4E3,Mason/carpenters,1,3,4,3,322,5,32032.00,32032.00,32032.00
U5H3F8,Mason/carpenters,1,3,4,3,322,5,32032.00,32032.00,32032.00
A2H6K3,Janitor,1,1,2,3,440,2,14040.00,18720.00,16380.00
A5X3V6,Janitor/office Cleaner,1,1,3,13,440,5,23400.00,32760.00,28080.00
B2B6H8,Mason,1,1,6,3,320,5,32760.00,32760.00,32760.00
B4F3R4,Beauty Therapist,1,3,3,3,259,13,15210.00,17550.00,16380.00
B6C5A3,Sushi Lead Cook,1,1,3,8,255,0,14040.00,28080.00,21060.00
B6Y4F6,Driver/warehouse Assistant,1,1,2,8,242,17,21060.00,30420.00,25740.00
B8B5M5,Project Assistant – Human Resources Division,1,4,3,3,102,8,32136.00,35217.00,33676.50
C2K7U7,Gardener,1,1,2,11,298,2,21060.00,23400.00,22230.00
C3F5X2,Handyman,1,1,4,4,454,2,18720.00,18720.00,18720.00
C3K5X5,Sous Chef,1,3,4,4,215,0,39780.00,51480.00,45630.00
C3Q6M2,Bartender,1,1,2,3,257,0,16640.00,16640.00,16640.00
C4A6R4,Server/waiter,1,1,3,3,256,19,14040.00,14040.00,14040.00
C4N7U8,Dental Assistant,1,3,4,3,172,9,48000.00,60000.00,54000.00
C5B8Y8,Insolvency Manager,1,5,4,3,10,14,66666.67,91666.67,79166.67
C7A5R8,Food & Beverage Servicer,1,1,2,0,282,19,16380.00,21060.00,18720.00
D3M2V8,Assistant Mechanic Man,1,1,4,0,345,19,23400.00,35100.00,29250.00
D7A2P5,Cook,1,1,3,3,255,2,16380.00,23400.00,19890.00
D7S7V7,Senior Associate (advisory),1,5,2,1,96,14,60700.00,69600.00,65150.00
E4Y2V2,Manager/senior Manager (cmaas),1,5,4,1,10,14,80000.00,197214.00,138607.00
E5C6R8,Auto Mechanic,1,1,4,3,345,19,26000.00,39780.00,32890.00
E7F6A8,Janitor,1,1,3,0,260,16,28080.00,35100.00,31590.00
F3N2A6,Dental Surgeon,1,7,4,3,73,9,120000.00,480000.00,300000.00
F8X2D6,Welder Helper,1,1,3,3,335,11,23400.00,28080.00,25740.00
G5R4K2,Sales Person,1,1,3,3,283,19,18720.00,23400.00,21060.00
G8D2N5,Carpenter/ Handyman,1,3,4,3,322,5,28080.00,35100.00,31590.00
H6J5Q5,Mover Helper,1,1,2,3,457,17,12480.00,20800.00,16640.00
H6P5U7,It Business Innovation Manager,1,5,7,1,24,14,105000.00,135000.00,120000.00
J4N6E6,Group Chief Compliance Officer,1,5,4,3,97,8,104166.67,116666.67,110416.67
J5W2C8,"Global Head Of Enablement, Relationship Management And Sales, Senior Vice",1,5,7,1,480,8,175000.00,287500.00,231250.00
J8H5J6,Mason/carpenter,1,1,3,11,318,5,20800.00,22100.00,21450.00
J8J5F2,Handy Man,1,1,3,3,476,2,21060.00,23400.00,22230.00
K5S5Q3,Project Assistant – Information Systems Division,0,5,5,3,218,8,32136.00,35217.00,33676.50
K6A3S8,Accountant,1,5,3,1,96,14,60000.00,85000.00,72500.00
K7F3U2,Janitor/cleaner,1,1,1,3,333,19,14040.00,16380.00,15210.00
M3B5K3,Legal Counsel – Legal Division,1,5,4,3,118,8,111930.00,139581.00,125755.50
M4J3B7,Manager – Hr Analytics,1,5,4,1,11,14,85000.00,120000.00,102500.00
M4Y4R3,Mason/steelman For New View Construction & Maintenance,1,1,7,3,320,4,28080.00,42120.00,35100.00
M5D6D3,Heavy Duty Mechanic,1,4,4,3,365,7,47712.00,62016.00,54864.00
M5P3K8,Food & Beverage Servicer,1,1,2,0,282,19,16380.00,21060.00,18720.00
M5P4T5,Strategy & Transactions Consultant,1,5,5,1,96,14,104166.67,166666.67,135416.67
M5Q4A6,Senior Sales Representative,1,2,5,3,107,13,16380.00,18720.00,17550.00
P3R2P7,Mason,1,1,3,3,454,5,28080.00,35100.00,31590.00
P7Q4W2,Specialist - Immigration,1,4,3,1,99,14,70000.00,90000.00,80000.00
P8K7S5,Audit Manager/senior Manager,1,5,3,1,10,14,80000.00,130000.00,105000.00
Q5Q5Q3,Counter Sales Person,1,4,2,3,283,19,20400.00,30000.00,25200.00
Q6D7P8,Audit Senior Associate,1,5,2,1,96,14,60000.00,68000.00,64000.00
Q6N3K2,Hair Dresser,1,1,3,3,258,13,16380.00,21060.00,18720.00
R3P3X5,Teacher,1,5,2,3,85,6,46000.00,56000.00,51000.00
R6R8W6,"Account Manager, Marketing & Communications",1,5,4,3,104,8,55500.00,79500.00,67500.00
R8F2P8,Building Installation Cleaner,1,1,3,3,333,2,18720.00,21060.00,19890.00
S2U7P8,Bartender/mixologist,1,1,4,2,257,0,18720.00,23400.00,21060.00
S2Y8P7,Consultant Dermatologist,1,7,4,8,65,9,144000.00,192000.00,168000.00
S3E5B3,Dental Hygienist,1,5,4,3,172,9,72000.00,84000.00,78000.00
S3G7J6,Heavy Equipment Driver,1,1,7,3,433,17,23400.00,32760.00,28080.00
S8Q5U8,Chief Risk Officer - Office Of The Ceo,1,5,6,3,98,8,139581.00,183831.00,161706.00
T3Y6Q4,Receiving Supervisor,1,1,2,11,273,19,30420.00,43173.00,36796.50
T4W8D4,Janitor For Cayman Supreme Cleaners,1,1,7,3,262,4,16380.00,21060.00,18720.00
T6E3Y8,Director,1,5,4,3,480,14,150000.00,162500.00,156250.00
T7Q6K7,Pipe Fitter Helper,1,1,3,3,329,5,14040.00,15210.00,14625.00
T8X8R6,Carpenter Helper,1,1,3,3,454,5,14040.00,18720.00,16380.00
U3F7R7,Analyst I – Insurance Supervision Division,1,5,3,3,98,8,53735.00,64795.00,59265.00
U3P8M7,Lead Line Cook,1,1,3,8,255,0,14040.00,23400.00,18720.00
U4U3H6,Chess Teacher,1,3,4,3,89,6,64792.00,64800.00,64796.00
U6V6D7,Carpenter,1,1,4,3,454,5,24960.00,31200.00,28080.00
V2V5U7,Executive Administrative Assistant/cad Operator,1,5,5,3,198,11,28080.00,42120.00,35100.00
V2Y2A7,Manager/senior Manager,1,5,4,1,10,14,96250.00,172500.00,134375.00
V4M5P8,Mason Helper,1,1,7,3,454,5,28080.00,30420.00,29250.00
V8F4P8,Strata Property Assistant Manager,1,2,4,3,193,5,25000.00,30000.00,27500.00
W2N3W4,Paralegal,0,3,4,3,197,14,90006.00,99996.00,95001.00
W4J5G2,Litigation Managing Associate,1,5,7,3,118,14,166666.60,191666.67,179166.63
W6G8N3,Senior Associate,1,5,2,1,96,14,65000.00,79167.00,72083.50
W6K3V3,Manager/senior Manager,1,5,4,1,10,14,96250.00,172500.00,134375.00
X4Q8Q2,Head Of Division – Financial Stability & Statistics Division,1,6,7,3,13,8,139590.00,183831.00,161710.50
X6S3S7,Strategy & Transactions Senior Manager,1,5,5,1,96,14,104166.67,166666.67,135416.67
Y2F6J2,Apprentice Plumber,1,1,3,3,329,5,18720.00,19305.00,19012.50
Y4F8X5,(risk Assurance) Manager/senior Manager,1,5,4,1,10,14,80000.00,130000.00,105000.00
Y4S7T5,Maintenance Person,1,3,3,13,440,0,11700.00,14040.00,12870.00
Y6S3Y6,Kitchen Helper,1,1,2,2,463,0,23400.00,30420.00,26910.00
Y8J6V6,Cashier,1,1,3,3,275,19,14040.00,16380.00,15210.00
Y8N6T7,Florist,1,1,3,0,34,19,26325.00,73125.00,49725.00
A4G8H2,Full-time Office Clerk,1,5,3,3,225,2,14391.00,16801.20,15596.10
A7V5A5,Electrician,1,3,4,3,364,5,37440.00,39780.00,38610.00
B2V5F6,Certified Cork Sprayer,1,3,2,11,317,19,80008.50,99996.00,90002.25
B5Y5M3,Customer Service Manager,1,1,4,3,14,19,12480.00,12480.00,12480.00
B6V2S2,Carpenter,1,1,4,3,322,5,18720.00,23400.00,21060.00
B7F3W7,Carpenter/ Mason,1,1,7,3,322,5,32400.00,32400.00,32400.00
B7Y2S5,Metal Fabricator,1,3,7,3,336,11,35100.00,70200.00,52650.00
C3F6E4,Finance Analyst,1,5,3,3,98,8,84700.00,137600.00,111150.00
C3S5S2,Kitchen Helper,1,1,1,3,463,14,14040.00,18720.00,16380.00
C5J5B5,Chief Financial Accountant,1,5,4,3,96,14,68333.30,70833.30,69583.30
C5J7B4,Mason / Steel Fixer,1,1,2,3,320,5,23400.00,28080.00,25740.00
C8U4V4,Dental Assistant,1,3,4,8,172,9,42000.00,67632.00,54816.00
D3E4P3,Steelfixer Helper,1,1,4,3,334,5,20800.00,24960.00,22880.00
D4M7E5,Appliance Technician,1,3,7,3,365,5,32760.00,46800.00,39780.00
D6T8H2,Store Clerk - Cleaner,1,1,1,3,242,19,19890.00,25740.00,22815.00
D6U3M4,Insulation Installer,1,1,3,3,327,5,30420.00,35100.00,32760.00
D8M7W8,Robotic & Electronic Technician,1,3,4,3,141,5,25000.00,35000.00,30000.00
D8R6M7,Mobile Mechanic,1,3,7,3,345,5,35100.00,42120.00,38610.00
E2K8M5,Kitchen Helper,1,1,3,3,463,0,14040.00,16380.00,15210.00
E5X5A6,Heavy Equipment Operator/ Labourer,1,1,3,12,433,17,23400.00,44460.00,33930.00
E8E2S5,Cable Worker,1,1,3,3,369,10,21600.00,27600.00,24600.00
F6A8H5,Wireman Electrician,1,1,3,3,364,19,27040.00,39520.00,33280.00
F7J3A8,Tiler,1,3,3,3,325,5,32760.00,42120.00,37440.00
F8E3G8,Carpenter,1,1,2,3,322,5,23400.00,28080.00,25740.00
G2D6Q4,Air Conditioning & Refrigeration Technician,1,3,4,3,330,5,32760.00,42120.00,37440.00
G2U3J7,Project Engineer,1,5,4,8,49,18,70600.00,75000.00,72800.00
G3G3B6,Admin Clerk,1,1,2,3,226,19,14040.00,16380.00,15210.00
G8A6J7,Carpenter,1,1,4,0,322,2,32760.00,37440.00,35100.00
H3Y4F5,Journeyman Electrician,1,1,6,3,364,19,49920.00,60320.00,55120.00
H5K4A6,Inventory Control Coordinator,1,1,2,3,194,2,21600.00,30000.00,25800.00
H5V2A6,Installation Service Technician,1,3,4,3,369,19,42000.00,50400.00,46200.00
H6Q5E6,Social Media Inventory Clerk,1,1,0,3,283,2,16380.00,16380.00,16380.00
H7F3U4,Assistant Shift Coordinator,1,1,4,3,262,5,20800.00,23400.00,22100.00
H7P4H2,Financial Controller,1,5,4,3,10,5,90000.04,125000.20,107500.12
H8N8F5,Metal Fabricator,1,3,7,3,335,11,35100.00,70200.00,52650.00
J7J2F7,Senior Associate Attorney,1,5,5,3,118,14,150000.00,158333.30,154166.65
J7W7U2,Wellness Coach & Personal Trainer,0,5,4,2,211,4,23400.00,46800.00,35100.00
J8E8H7,Line Cook,1,1,4,3,255,0,18720.00,18720.00,18720.00
K6H7W4,Senior Arborist,1,3,4,1,450,14,80000.00,100000.00,90000.00
M7K3S7,Gardener / Driver/ Maintenance,1,1,4,11,476,2,28080.00,32760.00,30420.00
P3A7Y3,Heavy Equipment Operator/ Labourer,1,1,5,12,433,17,23400.00,35100.00,29250.00
P3S4W5,Server,1,3,3,3,256,14,16380.00,21060.00,18720.00
P5N5G7,Duct Fabricator,1,1,6,3,409,5,39780.00,42120.00,40950.00
P8E4H7,Motor Inspector,1,3,4,3,194,8,66000.00,85233.00,75616.50
P8M5S3,Mates/ Deck Hand,1,1,2,3,438,2,13866.67,17333.33,15600.00
P8U4C4,Carpenter / Mason,1,1,2,3,322,5,28080.00,35100.00,31590.00
Q4N2V6,Music Performance/dj,0,1,4,8,133,4,13001.04,25998.96,19500.00
Q5N2W3,Floor Tiler,1,1,4,3,325,5,18720.00,39780.00,29250.00
Q6B2W7,Supervisor - Grocery (nights),1,1,3,3,273,19,39000.00,49400.00,44200.00
Q7D7A5,Handyman/maintenance,1,3,4,3,473,5,24960.00,31200.00,28080.00
Q8E8D7,Support Facilitator,1,5,3,3,94,6,26400.00,31200.00,28800.00
R2F7A5,Driver / Operator,1,1,3,11,435,2,32760.00,37440.00,35100.00
R2X5T8,Bicycle Tour Guides,1,1,2,11,348,2,13866.67,17333.33,15600.00
R3A4G3,Boat Captain,1,1,3,3,160,2,20800.00,20800.00,20800.00
R4D4D6,Equipment Installation Supervisor,1,3,3,8,327,18,58593.60,66705.60,62649.60
R4X3R7,Kitchen Helper,1,1,2,3,463,0,14040.00,16380.00,15210.00
R5F5J7,Childcare Provider,1,1,2,3,285,1,15210.00,16380.00,15795.00
R5P4J2,Labourer,1,1,3,3,454,19,23400.00,25740.00,24570.00
R6X6P4,Bartender,1,3,4,11,257,0,14040.00,23400.00,18720.00
S2C3N4,Chiropractor,1,5,1,3,80,9,24000.00,54000.00,39000.00
S4D3A3,Warehouse Helper,1,1,4,3,441,19,16380.00,18720.00,17550.00
S5B6H8,Sous Chef,1,3,7,3,215,0,35000.00,45000.00,40000.00
S8F5T5,"Manager, Insolvency, Restructuring And Forensic Accounting",1,5,4,1,96,14,75000.00,87500.00,81250.00
S8M8K7,Cleaner / Janitor,1,1,3,3,441,2,16380.00,18720.00,17550.00
T2P5W7,Bookkeeper/accountant,1,5,3,3,239,5,33000.00,42000.00,37500.00
T4Y7R3,Electrician,1,3,4,3,364,5,58500.00,74880.00,66690.00
U5A2F4,Maintenance,1,1,1,11,262,16,25740.00,32760.00,29250.00
U6Q7J3,Junior Behaviour Technician,1,5,2,3,72,9,35700.00,35708.40,35704.20
U8S8K3,Administrative Assistant,1,5,4,3,198,9,30000.00,39000.00,34500.00
V5G7W4,Beauty Therapist,1,1,2,3,259,9,16800.00,21600.00,19200.00
V5H8K2,Janitor Needed,1,0,4,3,445,2,15210.00,16380.00,15795.00
V5T3P7,Animal Caretaker,1,1,2,3,266,3,18135.00,20475.00,19305.00
V5W5V4,Line Cook,1,1,4,3,255,0,18720.00,18720.00,18720.00
V6J2P5,Manager/senior Manager (advisory),1,5,4,1,10,14,83500.00,133000.00,108250.00
W4D6G2,Hairstylist-licensed,1,3,4,5,258,13,16380.00,47993.40,32186.70
W6A3F2,Purchasing And Procurement Coordinator,1,3,3,3,194,2,21600.00,30000.00,25800.00
X2B7V8,Installation & Maintenance Technician,1,3,5,3,140,5,35100.00,39780.00,37440.00
X2M4E7,Office Administrator,1,1,3,3,198,5,28200.00,33000.00,30600.00
X3B4U3,Sales Associate,1,1,2,3,280,19,10920.00,16380.00,13650.00
X4F3R4,Food & Beverage Server,1,1,1,3,282,14,14040.00,21060.00,17550.00
X4V2U6,Nail Technician,1,1,3,3,259,4,16380.00,23400.00,19890.00
X8A7P5,Global Regulatory Engagement Specialist,1,5,7,1,13,8,120000.00,125000.00,122500.00
Y2W7S2,Customer Service Engineer,1,2,4,3,369,19,39990.60,54007.20,46998.90
Y3J2W7,Welder/fabricator,1,3,7,3,335,11,28080.00,44460.00,36270.00
Y3X4X8,Steelman/mason/carpenter,1,1,4,3,320,5,32760.00,37440.00,35100.00
A3V2F8,Teacher,1,5,3,1,85,6,43992.00,46004.40,44998.20
A6Y6H4,Customer Service Attendant,1,1,2,3,281,19,14040.00,23400.00,18720.00
A8A6C5,Carpenter's Helper,1,1,4,3,322,2,30420.00,42120.00,36270.00
B2W7E5,Food & Beverage Server,0,1,2,4,282,0,7280.00,8320.00,7800.00
B3N4C3,Sales And Marketing Coordinator,1,5,6,3,14,2,83333.33,100000.00,91666.67
B3S2N8,Fuel Truck Driver,1,2,3,3,433,19,18720.00,28080.00,23400.00
B5B4S6,Heavy Duty Mechanic,1,3,7,3,347,17,26000.00,36400.00,31200.00
B5C5T8,Deputy General Manager,1,2,7,3,10,8,71000.00,84000.00,77500.00
B5J3U2,Customer Service Attendant,0,1,2,3,281,19,8190.00,11700.00,9945.00
B6G7G7,Electrician,1,3,4,3,366,5,37440.00,46800.00,42120.00
B7S6C7,Golf Grounds Superintendent,1,5,3,8,32,0,66666.67,95833.33,81250.00
B7V8C3,Bartender,1,1,4,13,257,14,14040.00,18720.00,16380.00
B8W2N7,Carpenter/steelman,1,1,3,3,320,4,28080.00,32760.00,30420.00
C3D6Q8,Food & Beverage Server,1,1,2,4,282,0,14560.00,16640.00,15600.00
C3P7M6,Hs Head Of Sixth Form (jobref#b166-24-25),1,5,4,3,83,6,53700.00,71700.00,62700.00
C7E6U2,Tax Experienced Staff,1,5,2,1,96,14,46666.67,56666.67,51666.67
C8N3Y4,Customer Service Attendant,1,1,2,3,281,19,14040.00,18720.00,16380.00
D3C8A8,Operations Manager,1,2,7,3,10,8,71000.00,84000.00,77500.00
D7C6D2,Loss Prevention Officer**,1,1,2,8,293,0,20800.00,20800.00,20800.00
E4E6K3,Pool Cleaner,1,1,3,3,445,2,14040.00,18720.00,16380.00
E6A3E5,Janitor,1,1,4,3,445,14,14040.00,14040.00,14040.00
F3P6T6,Operations Supervisor,1,5,4,3,193,16,36000.00,54000.00,45000.00
F4B4M6,Maintenance Helper,1,1,3,3,454,5,23400.00,23400.00,23400.00
G4X7H8,Floor Installer,1,1,4,3,325,19,35100.00,35100.00,35100.00
G5X6P3,Laundry Production Assistant,1,1,3,3,412,13,19500.00,23400.00,21450.00
H3G7J7,Mason,1,1,4,3,319,5,22880.00,31200.00,27040.00
H3J3W6,Director Of Engineering*,1,5,4,8,32,0,100000.00,141666.67,120833.33
J3K4G3,Assistant Early Childhood Practitioner,1,1,2,3,86,6,21600.00,21600.00,21600.00
J7W8H5,Legal Costs Consultant,1,5,7,3,120,14,83333.33,100000.00,91666.67
K2W6S3,Pool Technician,1,1,3,3,268,2,32760.00,52650.00,42705.00
K3R3G6,Pool Cleaner,1,1,3,3,445,2,14040.00,18720.00,16380.00
K5S3R4,Risk Manager,1,5,4,3,10,8,80000.00,140000.00,110000.00
M2Y2V6,Steel Fitter / Mason / Carpenter,1,1,4,3,454,5,28080.00,35100.00,31590.00
M6G4Y2,Cook,1,1,4,3,255,4,9750.00,10400.00,10075.00
M8E8A3,Baker - Pizza Maker,1,1,2,3,372,19,21060.00,28080.00,24570.00
M8X3R7,Customer Service Attendant,0,1,2,3,281,19,8190.00,11700.00,9945.00
P2G8T2,Residences Liaison,1,3,2,8,234,0,46800.00,46800.00,46800.00
P4U6C8,Pool Cleaner,1,1,3,3,268,2,32760.00,52650.00,42705.00
P5M6Q8,Sharp Service Technician,1,1,4,3,219,19,36000.00,45000.00,40500.00
P6D6D2,Mason,1,1,3,3,319,5,23400.00,30420.00,26910.00
Q2F3E8,Barber,1,1,7,3,258,13,16380.00,23400.00,19890.00
R6W7P4,Bus Driver,1,1,3,3,432,17,22100.00,26000.00,24050.00
R6Y2B2,Ps Key Stage 2 Teacher (job Ref #a135-24-25),1,5,3,3,85,6,49700.00,69700.00,59700.00
R8C2D2,Financial Controller/operations Manager,1,5,4,3,96,14,50000.00,70840.00,60420.00
S6X3F6,Reinsurance Underwriter,1,3,3,1,186,14,91666.67,125000.00,108333.33
S8N3F3,Hair Dresser,1,1,3,3,258,13,16380.00,21060.00,18720.00
T5J2U6,Customer Service Agent,1,3,2,3,252,17,18600.00,19200.00,18900.00
T7S2W6,Grocery Clerk,1,1,4,2,275,19,15210.00,18720.00,16965.00
U2V3H2,Line Cook,1,3,3,4,255,0,23400.00,28080.00,25740.00
U5P5C4,Customer Service Attendant,1,1,3,3,281,19,14040.00,18720.00,16380.00
U6U2S6,Sales Representitive,1,5,7,7,283,10,12480.00,21340.80,16910.40
V2V5N7,Hs Teacher Of Science (chemistry) (jobref#165-24-25),1,5,3,3,83,6,49700.00,69700.00,59700.00
V3T6T4,Interior Finisher /carpenter,1,1,4,3,322,5,20800.00,24960.00,22880.00
V4A8F3,Service Technician,1,1,4,3,139,11,36000.00,46200.00,41100.00
V7Q5K6,Mechanic,1,3,7,3,344,17,27000.00,30000.00,28500.00
V7T8U6,Senior Recruiter,1,5,3,3,283,2,44990.00,53000.00,48995.00
W5N2V8,Ps Key Stage 1 Teacher (job Ref #a134-24-25),1,5,3,3,85,6,49700.00,69700.00,59700.00
W8M7D7,Granite Countertop/vanities Fabricator,1,1,4,3,325,5,23400.00,35100.00,29250.00
W8T2G8,Customer Service Manager,1,5,4,3,13,2,60000.00,72000.00,66000.00
A2C4P5,Director Of Human Resources,1,5,4,11,11,0,46800.00,105999.92,76399.96
A3S8C2,Granite Fabricator & Installer,1,1,4,3,320,19,32760.00,32760.00,32760.00
A4X5E5,Legal Secretary - Litigation,0,3,4,3,197,14,55000.00,74000.00,64500.00
A6X3V3,Property Strata Assistant Manager,1,2,2,3,193,8,20800.00,23400.00,22100.00
B2R5N6,Cook,2,1,3,3,255,0,18720.00,21060.00,19890.00
B3P2W3,Auto Body Painter,1,1,4,3,331,17,24000.00,30000.00,27000.00
B4A3B2,Baker,1,1,2,3,372,19,20800.00,31200.00,26000.00
B5B4E8,Director Of Human Resources Operations,1,5,4,11,11,0,46800.00,67600.00,57200.00
B6A2E2,Landscaper,1,3,4,3,450,16,28000.00,33600.00,30800.00
C3E8K2,Medical Doctor - Radiology,1,7,4,2,65,9,80000.00,100000.00,90000.00
C3F4A5,Senior Consultant - Radiation Oncology,1,6,7,2,65,9,80000.00,96000.00,88000.00
C6E6X6,Accounts Clerk/porter,1,1,2,3,239,19,18000.00,20400.00,19200.00
C6Q6G8,Inventory Clerk/junior Buyer Assistant,1,1,2,3,242,5,28080.00,35100.00,31590.00
C7H7M6,Office Clerk,0,1,3,11,250,9,7020.00,7605.00,7312.50
D2A5B8,Registered Nurse,1,5,4,3,67,9,50000.00,86666.67,68333.33
D4V4A7,Adminsitrative Manager,1,5,7,12,13,5,21600.00,27600.00,24600.00
D8E2A3,Mason Worker,1,1,3,3,320,5,33280.00,46800.00,40040.00
E2G7S7,Project Manager,1,5,7,3,22,5,72000.00,108000.00,90000.00
E2U5P6,Grocery Clerk (non-cashier),1,1,1,3,242,19,18720.00,29120.00,23920.00
E4Y6A7,Social Media Coordinator & Digital Content Creator,1,5,3,1,104,4,50000.00,65000.00,57500.00
E5S8F2,Team Lead Supervisor,1,1,2,3,273,19,27040.00,36400.00,31720.00
E8E4N2,Development / Client Recruitment Manager,1,5,7,3,192,2,200000.00,200000.00,200000.00
F2N3Y6,Finishing Supervisor,1,1,4,3,149,5,35100.00,53820.00,44460.00
F5G4H8,Administrative Pastor,1,5,4,3,128,13,54000.00,60000.00,57000.00
F5S4A6,Scuba Instructor,1,3,2,3,386,2,15600.00,19500.00,17550.00
F5T7A4,Cook,1,3,3,3,215,19,27040.00,31200.00,29120.00
F6Q3K4,Medical Physicist (radiation Oncology),1,5,4,1,65,9,40000.00,44750.00,42375.00
F7C5P7,Sales Representative,1,2,3,3,187,0,18205.20,20800.00,19502.60
F7Q4S5,Guest Service Expert,1,1,2,11,256,0,11700.00,14040.00,12870.00
F8F8D8,Janitor/cleaner,1,1,2,3,262,8,14040.00,18720.00,16380.00
G3F5U7,Handyman,1,1,2,3,262,8,14040.00,18720.00,16380.00
H2N7J2,Physical Therapist,1,7,4,3,76,19,58500.00,74880.00,66690.00
H2U3H4,Barista/ Food & Beverage Server,1,1,2,3,256,0,18720.00,32760.00,25740.00
H4A8E6,Medical Doctor,1,5,4,2,64,9,80008.50,120003.00,100005.75
H5J6W2,Beauty Therapist,1,3,4,13,259,0,11700.00,14040.00,12870.00
H5U2U4,Truck Driver,1,1,3,0,431,17,23400.00,28080.00,25740.00
H5X5C4,Carpenter,1,1,4,3,322,5,47840.00,47840.00,47840.00
J2K7K8,Analyst- Project & Client Services,0,3,4,3,238,14,20830.00,25000.00,22915.00
J5V6F8,General Maintenance Engineer,1,4,3,11,52,0,46800.00,74100.00,60450.00
J6B2S6,Scuba Instructor,1,3,2,2,386,2,15600.00,19500.00,17550.00
J7M8B7,Rugby Coach,2,1,4,9,210,2,49998.00,49998.00,49998.00
J7W6C6,Assistant Financial Controller,1,5,5,1,10,14,75000.00,110000.00,92500.00
K2Q2D8,Ac Installation Technician,1,3,4,3,330,5,28080.00,70200.00,49140.00
K2S7F4,Senior Accountant / Senior Fund Accountant,1,5,3,8,13,8,54166.67,83333.33,68750.00
K4S6T4,Rental Agent,1,1,5,3,226,2,30000.00,36000.00,33000.00
K4U3R8,Mason,1,1,4,3,320,5,30420.00,30420.00,30420.00
K5H8J5,General Helper/cleaner/cashier,1,1,3,12,440,19,13520.00,14560.00,14040.00
K6M4W5,Marble & Carpet Specialist,1,1,2,11,260,0,11700.00,14040.00,12870.00
K7B5M4,Operations Manager,1,5,7,3,36,3,50000.00,60000.00,55000.00
K7B7U4,Mason,1,1,7,4,320,5,35100.00,35100.00,35100.00
K7T4E2,Sales Associate,1,1,4,3,276,19,26000.00,26000.00,26000.00
M3W8M3,Pastry Chef,1,3,2,3,372,19,27040.00,35360.00,31200.00
M6C4F8,Medical Doctor – Pediatrics & Neonatology,1,6,4,2,65,9,60000.00,70000.00,65000.00
M6F5N2,"Senior Manager, Audit Quality And Professional Practice (aqpp)",1,5,5,3,96,14,95833.30,108333.30,102083.30
N2H5S4,Customer Service Representative / Dispatcher,1,2,4,3,226,5,24008.40,39990.60,31999.50
N3B5P3,Kitchen Helper,1,1,4,11,463,2,14560.00,16640.00,15600.00
N3R4J7,Interior Designer,1,5,3,1,213,4,45000.00,60000.00,52500.00
N4V3M2,Senior Housekeeping Supervisor,1,1,2,3,260,0,21450.00,25350.00,23400.00
N8E7N6,Guest Environment Expert,1,4,2,11,441,0,11700.00,14040.00,12870.00
P2J5G8,Residences Rental Program Manager,1,5,4,8,32,0,49998.00,66670.50,58334.25
P4D7Y7,Maintenance And Safety Officer,1,3,4,3,262,16,25000.00,35000.00,30000.00
P4M5A5,Sales Manager,1,1,4,3,14,19,96000.00,120000.00,108000.00
P5B2Q7,Glazier/metal Mechanic,1,1,7,3,328,5,42120.00,70200.00,56160.00
P8P7B6,Senior Corporate Administrator,1,5,4,3,99,14,70833.33,87500.00,79166.67
Q2S2C8,Junior Stock Clerk/parts Advisor,1,4,4,3,226,19,26000.00,36000.00,31000.00
Q3N7E6,Steelman,1,1,4,0,321,2,35100.00,39780.00,37440.00
Q4S2S5,Seadoo Technician,1,3,4,3,52,19,42120.00,56160.00,49140.00
Q7J7R8,Agricultural Sourcing Manager,1,5,4,3,23,19,70833.33,79166.67,75000.00
Q8B6W3,Recruiter,1,5,2,3,283,2,37498.50,45844.50,41671.50
